Model,Mean Test RMSE,Std Test RMSE,Mean Train RMSE,Std Train RMSE
PLSR,0.006219164919732557,0.0016467109426846194,0.003968231279072825,0.0005157595387121626
PCR,0.006995420870366495,0.001435153465709517,0.004068289815036144,0.0006547129357611599
LASSO,0.007126082837441712,0.0013452613100941315,0.004865494675913436,0.0005482227959000574
LR,0.007273705067151262,0.0011431269940944415,4.1216396453518166e-16,1.5425987538101372e-16
RF,0.010132599658649358,0.001350661649595287,0.001995430739465189,0.00018524254845481405
