label,density [g/cm3],crystallinity,SCB [CH3/1000C]
H0001ULDPE,0.9185,0.346253406,15.4
H0002LDPE,0.9235,0.40023842,27.4
H0003LDPE,0.9115,0.375817439,28.8
H0004LLDPE,0.9105,0.427350136,18.6
H0005LLDPE,0.92,0.329237057,20.2
H0006MDPE,0.9335,0.503950954,12.65
H0007HDPE,0.9525,0.557356948,8.7
H0008HDPE,0.9555,0.655347411,6.75
H0009PP,0.89,0.437889908,312.95
N1473LDPE,0.9165,0.247115123,27.2
N1474HDPE,0.9225,0.495299728,10.9
N1476LDPE,0.9185,0.312646458,21.2
S0011PP,0.9085,0.438083052,331.6
S0024LDPE,0.917,0.486852861,28.9
S0036RPP,0.9095,0.390289715,318.75
S0040HDPE,0.955,0.62489782,7.35
S0048HDPE,0.955,0.603814714,9.7
S0052PP,0.8895,0.382844037,293.65
S0081LDPE,0.921,0.370844687,23.6
0HDPE_100PP,0.89950628,,345.2333333
10HDPE_90PP,0.904611895,,303.8666667
20HDPE_80PP,0.921142285,,268.1666667
30HDPE_70PP,0.925321027,,236.5
40HDPE_60PP,0.932648907,,202
50HDPE_50PP,0.935382366,,164.6666667
60HDPE_40PP,0.940039509,,131.4
70HDPE_30PP,0.954004878,,86.55
80HDPE_20PP,0.949050953,,66.23333333
90HDPE_10PP,0.953655545,,26.86666667
100HDPE_0PP,0.959366631,,2.266666667
L_0,0.938397448,,5.15
L_10,0.944340714,,7.9
L_20,0.943398516,,16.45
L_30,0.936812368,,12.7
L_50,0.932230403,,14.45
L_70,0.926355678,,23.45
L_80,0.92460771,,16.8
L_90,0.920275794,,20.35
L_100,0.917343655,,26.7
