Resin Code/Original Identifier,Source,Sample,Class1,Class2,Physical State,Alternate names,bigSMILES,CAS number,Material Keywords,reference URL
S1476a,NIST Standards,N1476LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','1476'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1476A.pdf
S1474,NIST Standards,N1474PE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene','1474'",{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",https://www-s.nist.gov/srmors/certificates/1474b.pdf
S1473,NIST Standards,N1473LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','1473'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www-s.nist.gov/srmors/certificates/1473c.pdf
,Commercial Supplier,S0081LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",
,Commercial Supplier,S0036RPP,PP,PP-co-PE,Pellet,"random polypropylene','PP', 'polypropylene'","{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"`polyolefins','semicrystalline','copolymer','random'",
,Commercial Supplier,S0024LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",
,Commercial Supplier,S0011PP,PP,PP,Pellet,"polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"`polyolefins','semicrystalline','linear','homopolymer'",
,Commercial Supplier,S0048HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",
,Commercial Supplier,S0052PP,PP,PP-co-PE,Pellet,"impact polypropylene','PP', 'polypropylene'","{[][$]CC(C)[$],[$]CC[$][]}",9003-07-0,"`polyolefins','semicrystalline','copolymer','random'",
,Commercial Supplier,S0040HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",
ULDPE,Hawaii Pacific University Polymers Kit,H0001ULDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','ULDPE'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
LDPE-1,Hawaii Pacific University Polymers Kit,H0002LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','LDPE.1'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
LDPE-2,Hawaii Pacific University Polymers Kit,H0003LDPE,PE,LDPE,Pellet,"low density polyethylene','LDPE','polyethylene','LDPE.2'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
LLDPE-1,Hawaii Pacific University Polymers Kit,H0004LLDPE,PE,LLDPE,Pellet,"linear low density polyethylene','LLDPE','polyethylene','LLDPE.1'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"`polyolefins','semicrystalline','copolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
LLDPE-2,Hawaii Pacific University Polymers Kit,H0005LLDPE,PE,LLDPE,Pellet,"linear low density polyethylene','LLDPE','polyethylene','LLDPE.2'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"`polyolefins','semicrystalline','copolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
MDPE,Hawaii Pacific University Polymers Kit,H0006MDPE,PE,MDPE,Pellet,"mid density polyethylene','MDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"`polyolefins','semicrystalline'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
HDPE-1,Hawaii Pacific University Polymers Kit,H0007HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene','HDPE.1'",{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
HDPE-2,Hawaii Pacific University Polymers Kit,H0008HDPE,PE,HDPE,Pellet,"high density polyethylene','HDPE','polyethylene','HDPE.2'",{[][$]CC[$][]},9002-88-4,"`polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
PP,Hawaii Pacific University Polymers Kit,H0009PP,PP,PP,Pellet,"polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"`polyolefins','semicrystalline','linear','homopolymer'",https://www.hpu.edu/cncs/cmdr/img/polymerkit1.0_marketingbrochure.pdf
